,CIRCUIT,DISTRICT,TRANSOFF,ORIGIN,JURIS,JURY,COUNTY,PROCPROG,DISP,JUDGMENT
197,0,90,-8,1,3,0,11001,1,3,-8
198,0,90,-8,1,3,0,11001,1,3,-8
587,0,90,-8,1,3,0,88888,2,14,-8
943,0,90,-8,1,3,0,11001,3,3,-8
1568,0,90,-8,1,3,0,88888,12,1,-8
2330,0,90,-8,1,3,0,11001,2,6,1
2343,0,90,-8,1,3,0,11001,10,14,-8
2553,0,90,-8,1,3,0,11001,1,3,-8
3013,0,90,-8,1,3,0,11001,1,3,-8
3354,0,90,-8,1,2,0,11001,2,11,-8
3526,0,90,-8,1,3,0,11001,2,14,-8
3654,0,90,-8,1,3,0,11001,10,12,-8
3770,0,90,-8,5,3,0,88888,2,14,-8
3823,0,90,-8,1,3,0,11001,2,14,-8
3836,0,90,-8,1,3,0,88888,1,14,-8
3839,0,90,-8,1,2,0,11001,1,0,-8
4159,1,0,-8,1,3,0,23003,5,3,-8
4160,1,0,-8,1,3,0,23003,5,2,-8
4161,1,0,-8,1,3,0,23003,5,3,-8
4162,1,0,-8,1,3,0,23003,5,3,-8
4163,1,0,-8,1,3,0,23003,5,3,-8
4349,1,0,-8,1,3,0,23005,10,14,-8
4546,1,0,-8,5,3,0,23005,10,1,-8
4614,1,0,-8,1,3,0,23003,12,6,4
5143,1,1,-8,1,3,0,0,1,3,-8
5234,1,1,-8,1,3,0,0,3,3,-8
5262,1,1,-8,1,3,0,0,1,3,-8
5404,1,1,-8,1,3,0,0,1,3,-8
5457,1,1,-8,1,3,0,0,4,6,2
5501,1,1,-8,1,3,0,0,1,3,-8
5581,1,1,-8,1,3,0,0,2,6,2
5607,1,1,-8,1,3,0,0,3,3,-8
5643,1,1,-8,1,3,0,0,1,3,-8
5647,1,1,-8,1,3,0,0,10,17,-8
5665,1,1,-8,1,3,0,25025,1,6,3
5708,1,1,-8,1,2,0,0,1,3,-8
5813,1,1,-8,1,3,0,0,1,3,-8
5821,1,1,-8,1,3,0,0,1,3,-8
5837,1,1,-8,1,3,0,0,1,3,-8
5873,1,1,-8,1,3,0,0,1,3,-8
5931,1,1,-8,1,3,0,0,5,3,-8
6052,1,1,-8,1,3,0,0,3,3,-8
6085,1,1,-8,1,3,0,0,3,3,-8
6223,1,1,-8,1,3,0,0,10,17,-8
6344,1,1,-8,1,3,0,0,3,3,-8
6372,1,1,-8,1,3,0,0,10,1,-8
6419,1,1,-8,1,3,0,0,1,3,-8
6565,1,1,-8,1,3,0,88888,4,1,-8
6608,1,1,-8,1,3,0,0,4,1,-8
6609,1,1,-8,1,3,0,0,2,17,4
6698,1,1,-8,1,3,0,0,2,17,-8
6762,1,1,-8,1,3,0,88888,2,3,-8
6763,1,1,-8,1,3,0,88888,1,3,-8
6832,1,1,-8,1,3,0,88888,4,1,-8
6913,1,1,-8,1,3,0,0,2,3,-8
6915,1,1,-8,1,3,0,0,2,17,-8
6968,1,1,-8,1,3,0,0,4,6,2
6969,1,1,-8,1,3,0,0,2,3,-8
6970,1,1,-8,1,3,0,0,4,6,2
6978,1,1,-8,1,3,0,0,2,3,-8
6979,1,1,-8,1,3,0,0,1,3,-8
7042,1,1,-8,1,3,0,0,1,3,-8
7101,1,1,-8,1,3,0,0,4,5,4
7102,1,1,-8,1,3,0,0,1,3,-8
7103,1,1,-8,1,3,0,0,4,6,2
7165,1,1,-8,1,3,0,0,4,17,4
7166,1,1,-8,1,3,0,0,4,3,-8
7167,1,1,-8,1,3,0,0,1,3,-8
7188,1,1,-8,1,3,0,0,2,17,-8
7189,1,1,-8,1,3,0,0,2,17,-8
7328,1,1,-8,1,3,0,88888,1,2,-8
7358,1,1,-8,1,3,0,88888,8,9,1
7365,1,1,-8,1,3,0,88888,2,6,1
7373,1,1,-8,1,3,0,88888,1,12,-8
7382,1,1,-8,1,3,0,88888,10,1,-8
7389,1,1,-8,1,3,0,0,4,11,-8
7407,1,1,-8,1,3,0,88888,12,6,4
7422,1,1,-8,1,3,0,88888,10,17,-8
7475,1,1,-8,1,3,0,88888,3,13,-8
7517,1,1,-8,1,3,0,88888,12,14,-8
7524,1,1,-8,1,3,0,88888,2,14,-8
7555,1,1,-8,1,3,0,0,3,12,-8
7560,1,1,-8,1,3,0,0,12,14,-8
7663,1,1,-8,1,3,0,88888,2,2,-8
7750,1,1,-8,1,3,0,88888,2,2,-8
7848,1,1,-8,1,3,0,88888,4,11,-8
7888,1,1,-8,1,3,0,88888,2,13,-8
7892,1,1,-8,1,3,0,88888,1,13,-8
7981,1,1,-8,1,3,0,0,1,12,-8
8000,1,1,-8,1,3,0,0,3,12,-8
8001,1,1,-8,1,3,0,0,1,12,-8
8023,1,1,-8,1,3,0,0,4,14,-8
8037,1,1,-8,1,3,0,0,12,12,-8
8064,1,1,1,1,3,0,88888,12,14,-8
8105,1,1,-8,1,3,0,25025,2,14,-8
8345,1,1,-8,1,3,0,25013,10,17,-8
8391,1,1,-8,1,1,0,25015,10,17,-8
8441,1,1,-8,1,1,0,25015,8,9,1
8442,1,1,-8,1,1,0,25015,10,3,-8
8454,1,1,-8,1,3,0,25003,10,17,-8
8472,1,1,-8,1,3,0,25003,10,3,-8
8477,1,1,-8,1,3,0,25015,10,3,-8
8521,1,1,-8,1,3,0,25003,4,14,-8
8928,1,2,-8,1,3,0,33015,10,17,2
8929,1,2,-8,1,3,0,33015,10,17,2
8994,1,2,-8,1,3,0,33015,10,14,-8
9015,1,2,-8,1,3,0,33015,10,17,-8
9121,1,2,-8,1,3,0,88888,10,14,-8
9122,1,2,-8,1,3,0,33009,10,17,-8
9123,1,2,-8,1,3,0,88888,2,17,-8
9148,1,2,-8,1,3,0,33017,10,13,-8
9149,1,2,-8,1,3,0,33011,2,17,-8
9512,1,3,-8,1,3,0,88888,8,1,-8
9613,1,3,-8,1,3,0,0,4,0,-8
9903,1,4,-8,1,3,0,72025,4,3,-8
10018,1,4,-8,1,3,0,0,2,3,-8
10021,1,4,-8,1,3,0,72127,4,3,-8
10078,1,4,-8,1,3,0,72013,12,14,-8
10277,1,4,-8,1,3,0,72127,4,3,-8
10333,1,4,-8,1,3,0,72127,4,6,1
10335,1,4,-8,1,3,0,72127,2,3,-8
